Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C5, C6, C9",0402,10,100nF,C1525
"C16, C17, C4, C8",0402,4,1uF,C52923
"C2, C3",0402,2,22pF,C1555
C7,0402,1,10uF,C15525
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,10,D,C81598
F1,1206,1,500mA,C70076
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
"MX1, MX10, MX2, MX3, MX4, MX5, MX6, MX6.175, MX7, MX8, MX9",Low Profile GC plus MX,11,MX-NoLED,
"R1, R2, R7",0402,3,1k,C11702
"R3, R4",0402,2,5k1,C25905
"R5, R6",0603,2,27R,C25190
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C131025
U2,SOT-23-6,1,USBLC6-2SC6,C2827654
U3,RP2040-QFN-56,1,RP2040,C2040
U4,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
