Designator,Mid X,Mid Y,Rotation,Layer
C1,108.077,-127.635,270.0,bottom
C10,127.47125,-130.17,180.0,bottom
C11,122.803893,-135.270893,225.0,bottom
C12,122.026018,-123.02975,135.0,bottom
C13,111.85025,-129.281,0.0,bottom
C14,114.89825,-135.758,270.0,bottom
C15,116.184018,-124.04575,0.0,bottom
C16,106.39375,-97.3585,180.0,bottom
C17,106.68,-103.838375,0.0,bottom
C2,131.297018,-123.566,180.0,bottom
C3,131.043018,-130.26875,0.0,bottom
C4,113.644018,-132.04675,0.0,bottom
C5,111.85025,-127.757,0.0,bottom
C6,127.47125,-131.694,180.0,bottom
C7,106.68,-102.822375,180.0,bottom
C8,113.644018,-133.06275,0.0,bottom
C9,116.42225,-135.758,270.0,bottom
D1,41.275,-97.63125,90.0,bottom
D10,80.773,-121.412,0.0,bottom
D2,65.0875,-97.63125,90.0,bottom
D3,84.1375,-97.63125,90.0,bottom
D4,103.1875,-97.63125,90.0,bottom
D5,113.792,-102.87,90.0,bottom
D6,45.24375,-116.68125,90.0,bottom
D7,69.85,-116.68125,90.0,bottom
D8,88.9,-116.68125,90.0,bottom
D9,107.95,-116.68125,90.0,bottom
F1,107.02925,-94.0435,270.0,bottom
J1,111.506,-85.56625,180.0,bottom
MX1,34.925,-92.86875,180.0,top
MX10,77.81925,-130.96875,180.0,top
MX2,58.7375,-92.86875,180.0,top
MX3,77.7875,-92.86875,180.0,top
MX4,96.8375,-92.86875,180.0,top
MX5,123.03125,-102.39375,180.0,top
MX6,32.54375,-111.91875,180.0,top
MX6.175,37.30625,-111.91875,0.0,top
MX7,63.5,-111.91875,180.0,top
MX8,82.55,-111.91875,180.0,top
MX9,101.6,-111.91875,180.0,top
R1,98.552,-128.905,180.0,bottom
R2,108.55325,-139.049125,180.0,bottom
R3,109.093,-92.535375,270.0,bottom
R4,114.046,-92.535375,270.0,bottom
R5,111.633,-108.029375,270.0,bottom
R6,109.982,-108.029375,270.0,bottom
R7,127.47125,-128.138,0.0,bottom
SW1,102.73125,-132.182,90.0,top
U1,102.66,-125.222,180.0,bottom
U2,111.60125,-94.0435,90.0,bottom
U3,119.883,-129.281,270.0,bottom
U4,107.15575,-100.1525,90.0,bottom
Y1,131.02725,-126.995,90.0,bottom
